brand_name,vomela_name
Aztec Gold TP,Champagne Star Met. PN5946
Metallic Flint,Medium Silver Metallic P1744
Lt. Metallic Gold,Light Gold Metallic P3208
Wedgewood Blue,Wedgewood Blue Pearl PN5680
Metallic Khaki,Khaki Metallic PN7360
Metallic Silver,Silver Metallic P3450
Oyster,Vanilla Bean PN7359
Champagne,Light Pewter Metallic P2984
Polar White,Sky White PN7238
Polar White TP,Arctic White PN5941
Dark Bronze TP,Medium Coffee Metallic PN5963
Metallic Brushed Nickel,Pewter Metallic P3280
Alloy Metallic TP,Alloy  Metallic P7425
Dark Gray,Light Gray PN7232
Metallic Khaki TP,Pewter Metallic P3280
Dark Met. Charcoal TP,Flintstone Metallic P4549
Metallic Antique TP,Nutmeg Metallic P4446
Metallic Russet TP,Dark Brown Metallic P3568
Dark Bronze MG,Dark Bronze PN7227
Dark Bronze TP,Dark Bronze PN7227
Dark Metallic Brown,Foremost Dark Brown Met. PN7302
Dark Slate TP,Flannel Grey Metallic PN7071
Mocha,Mocha PN7233
Taupe TP,8342 Taupe PN7327
Metallic Antique,Nutmeg Metallic P4446
Dark Metallic Brown TP,Foremost Dark Brown Met. PN1302
Black,Black P3098
Black TP,Black P3098
Dark Metallic Charcoal,Flintstone Metallic P4549
Gun Ship Gray TP,Light Gray PN7232
Cool Gray,Cool Grey PN7255
Metallic Shadow,Charcoal Metallic P3095
MG Dark Slate,Charcoal Metallic TK PN7252
Oyster TP,Vanilla Bean PN7359
Montana Silver,Coral Grey Metallic PN5463
Nu White,Nu White P4555
Smokey Topaz,Canyon Metallic 5922
Met. Brushed Nickel TP,Pewter Metallic P3280
